LOCATION,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCH,11498,2380,7809,5655,9627,8748,3990,6627,9543,8107,5235,4480,13487,11358,3515,1957,5315,24670,5385,6745,5042,10319,0,8650,8517,19171,2000,1725,5803,7689,7226,121131,3985,7993,7220,0,5537,4547,3618,7195,13860,14077,11303,7467,12731,10745,7814,4350,8220,0,4987,11311,2364,5013,8377,7352,7091,4214,10835,11756,3388,3313,7879,0,32223,7870,7849,11025,5703,3418,6601,6113,5904,4727,7628,8535,8861,5449,22059,3248
APRIL,10867,2127,7824,5378,8853,11392,3864,6492,10704,8534,6594,5680,10603,10868,3195,2287,5792,22875,5196,7398,5536,9572,0,8425,8361,20253,2177,2061,5559,7662,5947,130849,3766,7773,6917,0,5750,4983,3429,6949,13440,11767,11381,7492,13085,12061,7168,4369,8226,0,5070,10963,3658,3923,10287,6842,3696,4370,6604,12728,4375,3416,6299,0,30983,3967,8025,11894,4964,3325,6253,5361,5717,5068,7529,9508,8380,6937,18687,3925
MAY,10395,2247,7162,5178,9172,8896,4310,7135,10433,7677,6380,4161,8590,9672,3186,2114,5304,23898,4787,6891,5059,8927,0,9254,7260,15847,2185,1722,5099,7828,4439,114792,3153,6737,5745,0,5473,5075,2261,7489,12697,9822,11304,6809,12085,9690,6320,3606,7968,0,5094,10209,3457,3875,10443,6241,0,3626,4550,12520,3744,3445,6810,0,37357,6344,6567,12081,4831,3725,5345,5921,5555,5002,6881,7508,7901,6943,16703,3401
JUNE,11171,2484,6952,5895,9897,7870,3670,6496,10540,8143,7204,4514,10533,10735,3617,2335,6077,22703,4777,6603,4988,8959,0,9519,8955,16459,2569,1923,5850,6828,5110,116673,2999,6220,7940,0,5423,5598,2438,4550,13591,10961,11502,5966,13409,9632,6161,3835,9138,0,5670,11213,3369,3948,10928,6540,722,3985,5163,12630,3481,3356,6856,0,29641,6597,7071,11212,4973,4001,5968,1505,5780,5173,6892,6100,7270,6596,17239,4020
JULY,11532,2578,7835,7399,10441,9318,4447,6890,11867,9601,4534,5194,11950,11979,3931,2184,7165,24518,6062,8386,5952,9283,0,10353,9688,18370,3111,3067,7855,4125,6350,119738,3147,6957,7363,0,4722,7550,2503,11452,15408,12604,12663,8116,15385,10214,6978,3371,10614,0,6647,12401,4244,4404,13805,7478,6029,4783,5669,14204,4237,4989,6928,0,33583,7460,10676,12847,6037,3941,6061,7290,6270,5857,7895,7248,11701,7538,18549,4994
AUGUST,11387,2512,7536,7962,10110,9045,4243,6275,12265,8850,4690,5142,11519,11038,3467,1920,8598,26210,5700,7985,5590,11059,0,9049,9171,17216,2967,1882,6865,3715,5452,116332,2971,6630,7810,0,4233,6978,2578,11899,14672,11804,12261,7093,14070,10118,6639,4187,8844,0,3999,11582,4556,5103,13024,6484,5739,4638,5857,14437,3922,4646,7793,0,32266,7055,9234,12931,4992,3563,5570,7584,6818,7376,7753,7048,9935,6312,16946,4567
SEPTEMBER,11534,2462,6908,6299,9031,8389,3801,6777,9769,7733,3680,4223,9416,9372,3130,1720,4600,22446,4742,0,4853,8526,0,10065,7282,15906,2435,1510,5307,6132,5026,107200,2941,5617,6034,0,4210,5805,2107,9477,12394,10455,10363,5779,12177,9436,5923,3903,7834,0,2293,10023,3488,3372,10819,7282,4948,4086,4441,11482,3503,3469,7794,0,29043,5982,7270,11159,4643,3268,4909,7329,5744,5870,6520,6296,8172,7118,17550,4462
OCTOBER,11677,2678,8219,7604,10054,10385,4173,7333,11981,7779,4456,5799,10659,10725,3435,2296,0,24910,185,4517,5618,9535,0,8865,8610,17014,3834,1596,7239,4111,5833,128546,3366,6141,6929,0,4508,6778,2298,0,14886,11912,12198,7695,13592,11858,8186,4320,8637,0,3048,11624,4209,4093,12803,7216,3960,4430,5405,13277,4085,4224,7790,0,29043,10479,9047,12083,6519,1731,5503,8804,6739,6832,7804,6924,9223,7608,19223,4802
NOVEMBER,9741,2014,6679,8128,8060,7523,3007,6761,9164,7112,3039,4107,10384,9318,3129,1925,0,21183,1552,6031,4720,8850,0,6802,7074,14596,2256,1129,6105,4940,4891,102895,2956,5104,6349,0,3242,4742,3362,0,12402,10723,10555,5774,11271,10613,7512,3900,7739,0,2614,9205,3419,3590,10329,6509,5244,3803,4277,11192,3692,3209,6574,0,30883,6336,5027,10504,4837,0,4104,6452,4684,5152,7554,6154,8235,6857,15232,3880
DECEMBER,9454,2273,5770,7713,6953,7078,2867,3327,7005,6396,2439,3349,9460,8893,2748,1643,0,20148,3740,6884,4105,11435,0,6816,6716,13328,2082,807,5042,5763,4583,141696,2685,4489,4782,2190,3259,4809,2684,0,10364,9969,9705,4757,10749,9009,7011,3570,6630,0,2217,9447,3439,2932,3418,6597,4353,3696,1925,10366,3041,2044,6029,0,25256,5654,4428,9632,2900,0,3723,6109,4843,5267,6442,6789,7371,7169,15061,3572
